Verb,Tense,Subject,cntx_cat
কাটিয়াছিল,Past,3rd_f,cntx_pst
কাটিয়াছিলাম,Past,1st,cntx_pst
কাটিয়াছিলি,Past,2nd_i,cntx_pst
কাটিয়াছিলে,Past,2nd_f,cntx_pst
কাটিয়াছিলেন,Past,pol_f,cntx_pst
কাটিয়াছিস,Present,2nd_i,cntx_prt
কাটিয়াছে,Present,3rd_f,cntx_prt
কাটিয়াছেন,Present,pol_f,cntx_prt
কাটিয়ে,Participle,404_f,cntx_404
কাটিয়েছ,Present,2nd_f,cntx_prt
কাটিয়েছি,Present,1st,cntx_prt
কাটিয়েছিল,Past,3rd_f,cntx_pst
কাটিয়েছিলাম,Past,1st,cntx_pst
কাটিয়েছিলি,Past,2nd_i,cntx_pst
কাটিয়েছিলুম,Past,1st,cntx_pst
কাটিয়েছিলে,Past,2nd_f,cntx_pst
কাটিয়েছিলেন,Past,pol_f,cntx_pst
কাটিয়েছিলেম,Past,1st,cntx_pst
কাটিয়েছিস,Present,2nd_i,cntx_prt
কাটিয়েছে,Present,3rd_f,cntx_prt
কাটিয়েছেন,Present,pol_f,cntx_prt
কাটিয়ো,Present,2nd_f,cntx_prt
কাটিল,Past,3rd_f,cntx_pst
কাটিলাম,Past,1st,cntx_pst
কাটিলি,Past,2nd_i,cntx_pst
কাটিলে,Past,2nd_f,cntx_pst
কাটিলেন,Past,pol_f,cntx_pst
কাটিস,Present,2nd_i,cntx_prt
কাটুক,Present,3rd_f,cntx_prt
কাটুন,Present,pol_f,cntx_prt
কাটে,Present,3rd_f,cntx_prt
কাটেন,Present,pol_f,cntx_prt
কাটছ,Present,2nd_f,cntx_prt
কাটছি,Present,1st,cntx_prt
কাটছিল,Past,3rd_f,cntx_pst
কাটছিলাম,Past,1st,cntx_pst
কাটছিলি,Past,2nd_i,cntx_pst
কাটছিলুম,Past,1st,cntx_pst
কাটছিলে,Past,2nd_f,cntx_pst
কাটছিলেন,Past,pol_f,cntx_pst
কাটছিলেম,Past,1st,cntx_pst
কাটছিস,Present,2nd_i,cntx_prt
কাটছে,Present,3rd_f,cntx_prt
কাটছেন,Present,pol_f,cntx_prt
কাটত,Past,3rd_f,cntx_pst
কাটতাম,Past,1st,cntx_pst
কাটতিস,Past,2nd_i,cntx_pst
কাটতুম,Past,1st,cntx_pst
কাটতে,Past,2nd_f,cntx_pst
কাটতেন,Past,pol_f,cntx_pst
কাটতেম,Past,1st,cntx_pst
কাটনো,Present,obj_f,cntx_alt
কাটব,Future,1st,cntx_fut
কাটবার,Present,404_f,cntx_404
কাটবি,Future,2nd_i,cntx_fut
কাটবে,Future,2nd_f,cntx_fut
কাটবেন,Future,pol_f,cntx_fut
কাটবো,Future,1st,cntx_fut
কাটল,Past,3rd_f,cntx_pst
কাটলাম,Past,1st,cntx_pst
কাটলি,Past,2nd_i,cntx_pst
কাটলুম,Past,1st,cntx_pst
কাটলে,Past,2nd_f,cntx_pst
কাটলেন,Past,pol_f,cntx_pst
কাটলেম,Past,1st,cntx_pst
কাঁদ,Root,2nd_i,cntx_prt
কাঁদা,Base,pos_f,cntx_alt
কাঁদাই,Present,1st,cntx_prt
কাঁদাইও,Present,2nd_f,cntx_prt
কাঁদাইত,Past,3rd_f,cntx_pst
কাঁদাইতাম,Past,1st,cntx_pst
কাঁদাইতিস,Past,2nd_i,cntx_pst
কাঁদাইতে,Past,2nd_f,cntx_pst
কাঁদাইতেছ,Present,2nd_f,cntx_prt
কাঁদাইতেছি,Present,1st,cntx_prt
কাঁদাইতেছিল,Past,3rd_f,cntx_pst
কাঁদাইতেছিলাম,Past,1st,cntx_pst
কাঁদাইতেছিলি,Past,2nd_i,cntx_pst
কাঁদাইতেছিলে,Past,2nd_f,cntx_pst
কাঁদাইতেছিলেন,Past,pol_f,cntx_pst
কাঁদাইতেছিস,Present,2nd_i,cntx_prt
কাঁদাইতেছে,Present,3rd_f,cntx_prt
কাঁদাইতেছেন,Present,pol_f,cntx_prt
কাঁদাইতেন,Past,pol_f,cntx_pst
কাঁদাইব,Future,1st,cntx_fut
কাঁদাইবার,Present,404_f,cntx_404
কাঁদাইবি,Future,2nd_i,cntx_fut
কাঁদাইবে,Future,2nd_f,cntx_fut
কাঁদাইবেন,Future,pol_f,cntx_fut
কাঁদাইয়া,Participle,404_f,cntx_404
কাঁদাইয়াছ,Present,2nd_f,cntx_prt
কাঁদাইয়াছি,Present,1st,cntx_prt
কাঁদাইয়াছিল,Past,3rd_f,cntx_pst
কাঁদাইয়াছিলাম,Past,1st,cntx_pst
কাঁদাইয়াছিলি,Past,2nd_i,cntx_pst
কাঁদাইয়াছিলে,Past,2nd_f,cntx_pst
কাঁদাইয়াছিলেন,Past,pol_f,cntx_pst
কাঁদাইয়াছিস,Present,2nd_i,cntx_prt
কাঁদাইয়াছে,Present,3rd_f,cntx_prt
কাঁদাইয়াছেন,Present,pol_f,cntx_prt
কাঁদাইয়ো,Present,2nd_f,cntx_prt
কাঁদাইল,Past,3rd_f,cntx_pst
কাঁদাইলাম,Past,1st,cntx_pst
কাঁদাইলি,Past,2nd_i,cntx_pst
কাঁদাইলে,Past,2nd_f,cntx_pst
কাঁদাইলেন,Past,pol_f,cntx_pst
কাঁদাও,Present,2nd_f,cntx_prt
কাঁদাক,Present,3rd_f,cntx_prt
কাঁদাচ্ছ,Present,2nd_f,cntx_prt
কাঁদাচ্ছি,Present,1st,cntx_prt
কাঁদাচ্ছিল,Past,3rd_f,cntx_pst
কাঁদাচ্ছিলাম,Past,1st,cntx_pst
কাঁদাচ্ছিলি,Past,2nd_i,cntx_pst
কাঁদাচ্ছিলুম,Past,1st,cntx_pst
কাঁদাচ্ছিলে,Past,2nd_f,cntx_pst
কাঁদাচ্ছিলেন,Past,pol_f,cntx_pst
কাঁদাচ্ছিলেম,Past,1st,cntx_pst
কাঁদাচ্ছিস,Present,2nd_i,cntx_prt
কাঁদাচ্ছে,Present,3rd_f,cntx_prt
কাঁদাচ্ছেন,Present,pol_f,cntx_prt
কাঁদাত,Past,3rd_f,cntx_pst
কাঁদাতাম,Past,1st,cntx_pst
কাঁদাতিস,Past,2nd_i,cntx_pst
কাঁদাতুম,Past,1st,cntx_pst
কাঁদাতে,Past,2nd_f,cntx_pst
কাঁদাতেন,Past,pol_f,cntx_pst
কাঁদাতেম,Past,1st,cntx_pst
কাঁদান,Present,pol_f,cntx_prt
কাঁদানো,Present,obj_f,cntx_alt
কাঁদাব,Future,1st,cntx_fut
কাঁদাবার,Present,404_f,cntx_404
কাঁদাবি,Future,2nd_i,cntx_fut
কাঁদাবে,Future,2nd_f,cntx_fut
কাঁদাবেন,Future,pol_f,cntx_fut
কাঁদাবো,Future,1st,cntx_fut
কাঁদায়,Present,3rd_f,cntx_prt
কাঁদার,Present,404_f,cntx_404
কাঁদাল,Past,3rd_f,cntx_pst
কাঁদালাম,Past,1st,cntx_pst
কাঁদালি,Past,2nd_i,cntx_pst
কাঁদালুম,Past,1st,cntx_pst
কাঁদালে,Past,2nd_f,cntx_pst
কাঁদালেন,Past,pol_f,cntx_pst
কাঁদালেম,Past,1st,cntx_pst
কাঁদাস,Present,2nd_i,cntx_prt
কাঁদি,Present,1st,cntx_prt
কাঁদিও,Present,2nd_f,cntx_prt
কাঁদিত,Past,3rd_f,cntx_pst
কাঁদিতাম,Past,1st,cntx_pst
কাঁদিতিস,Past,2nd_i,cntx_pst
কাঁদিতে,Past,2nd_f,cntx_pst
কাঁদিতেছ,Present,2nd_f,cntx_prt
কাঁদিতেছি,Present,1st,cntx_prt
কাঁদিতেছিল,Past,3rd_f,cntx_pst
কাঁদিতেছিলাম,Past,1st,cntx_pst
কাঁদিতেছিলি,Past,2nd_i,cntx_pst
কাঁদিতেছিলে,Past,2nd_f,cntx_pst
কাঁদিতেছিলেন,Past,pol_f,cntx_pst
কাঁদিতেছিস,Present,2nd_i,cntx_prt
কাঁদিতেছে,Present,3rd_f,cntx_prt
কাঁদিতেছেন,Present,pol_f,cntx_prt
কাঁদিতেন,Past,pol_f,cntx_pst
কাঁদিব,Future,1st,cntx_fut
কাঁদিবার,Present,404_f,cntx_404
কাঁদিবি,Future,2nd_i,cntx_fut
কাঁদিবে,Future,2nd_f,cntx_fut
কাঁদিবেন,Future,pol_f,cntx_fut
কাঁদিয়া,Participle,404_f,cntx_404
কাঁদিয়াছ,Present,2nd_f,cntx_prt
কাঁদিয়াছি,Present,1st,cntx_prt
কাঁদিয়াছিল,Past,3rd_f,cntx_pst
কাঁদিয়াছিলাম,Past,1st,cntx_pst
কাঁদিয়াছিলি,Past,2nd_i,cntx_pst
কাঁদিয়াছিলে,Past,2nd_f,cntx_pst
কাঁদিয়াছিলেন,Past,pol_f,cntx_pst
কাঁদিয়াছিস,Present,2nd_i,cntx_prt
কাঁদিয়াছে,Present,3rd_f,cntx_prt
কাঁদিয়াছেন,Present,pol_f,cntx_prt
কাঁদিয়ে,Participle,404_f,cntx_404
কাঁদিয়েছ,Present,2nd_f,cntx_prt
কাঁদিয়েছি,Present,1st,cntx_prt
কাঁদিয়েছিল,Past,3rd_f,cntx_pst
কাঁদিয়েছিলাম,Past,1st,cntx_pst
কাঁদিয়েছিলি,Past,2nd_i,cntx_pst
কাঁদিয়েছিলুম,Past,1st,cntx_pst
কাঁদিয়েছিলে,Past,2nd_f,cntx_pst
কাঁদিয়েছিলেন,Past,pol_f,cntx_pst
কাঁদিয়েছিলেম,Past,1st,cntx_pst
কাঁদিয়েছিস,Present,2nd_i,cntx_prt
কাঁদিয়েছে,Present,3rd_f,cntx_prt
কাঁদিয়েছেন,Present,pol_f,cntx_prt
কাঁদিয়ো,Present,2nd_f,cntx_prt
কাঁদিল,Past,3rd_f,cntx_pst
কাঁদিলাম,Past,1st,cntx_pst
কাঁদিলি,Past,2nd_i,cntx_pst
কাঁদিলে,Past,2nd_f,cntx_pst
কাঁদিলেন,Past,pol_f,cntx_pst
কাঁদিস,Present,2nd_i,cntx_prt
কাঁদুক,Present,3rd_f,cntx_prt
কাঁদুন,Present,pol_f,cntx_prt
কাঁদে,Present,3rd_f,cntx_prt
কাঁদেন,Present,pol_f,cntx_prt
কাঁদছ,Present,2nd_f,cntx_prt
কাঁদছি,Present,1st,cntx_prt
কাঁদছিল,Past,3rd_f,cntx_pst
কাঁদছিলাম,Past,1st,cntx_pst
কাঁদছিলি,Past,2nd_i,cntx_pst
কাঁদছিলুম,Past,1st,cntx_pst
কাঁদছিলে,Past,2nd_f,cntx_pst
কাঁদছিলেন,Past,pol_f,cntx_pst
কাঁদছিলেম,Past,1st,cntx_pst
কাঁদছিস,Present,2nd_i,cntx_prt
কাঁদছে,Present,3rd_f,cntx_prt
কাঁদছেন,Present,pol_f,cntx_prt
কাঁদত,Past,3rd_f,cntx_pst
কাঁদতাম,Past,1st,cntx_pst
কাঁদতিস,Past,2nd_i,cntx_pst
কাঁদতুম,Past,1st,cntx_pst
কাঁদতে,Past,2nd_f,cntx_pst
কাঁদতেন,Past,pol_f,cntx_pst
কাঁদতেম,Past,1st,cntx_pst
কাঁদব,Future,1st,cntx_fut
কাঁদবার,Present,404_f,cntx_404
কাঁদবি,Future,2nd_i,cntx_fut
কাঁদবে,Future,2nd_f,cntx_fut
কাঁদবেন,Future,pol_f,cntx_fut
কাঁদবো,Future,1st,cntx_fut
কাঁদল,Past,3rd_f,cntx_pst
কাঁদলাম,Past,1st,cntx_pst
কাঁদলি,Past,2nd_i,cntx_pst
কাঁদলুম,Past,1st,cntx_pst
কাঁদলে,Past,2nd_f,cntx_pst
কাঁদলেন,Past,pol_f,cntx_pst
কাঁদলেম,Past,1st,cntx_pst
খা,Root,2nd_i,cntx_prt
খাই,Present,1st,cntx_prt
খাইও,Present,2nd_f,cntx_prt
খাইত,Past,3rd_f,cntx_pst
খাইতাম,Past,1st,cntx_pst
খাইতিস,Past,2nd_i,cntx_pst
খাইতে,Past,2nd_f,cntx_pst
খাইতেছ,Present,2nd_f,cntx_prt
খাইতেছি,Present,1st,cntx_prt
খাইতেছিল,Past,3rd_f,cntx_pst
খাইতেছিলাম,Past,1st,cntx_pst
খাইতেছিলি,Past,2nd_i,cntx_pst
খাইতেছিলে,Past,2nd_f,cntx_pst
খাইতেছিলেন,Past,pol_f,cntx_pst
খাইতেছিস,Present,2nd_i,cntx_prt
খাইতেছে,Present,3rd_f,cntx_prt
খাইতেছেন,Present,pol_f,cntx_prt
খাইতেন,Past,pol_f,cntx_pst
খাইব,Future,1st,cntx_fut
খাইবার,Present,404_f,cntx_404
খাইবি,Future,2nd_i,cntx_fut
খাইবে,Future,2nd_f,cntx_fut
খাইবেন,Future,pol_f,cntx_fut
খাইয়া,Participle,404_f,cntx_404
খাইয়াছ,Present,2nd_f,cntx_prt
খাইয়াছি,Present,1st,cntx_prt
খাইয়াছিল,Past,3rd_f,cntx_pst
খাইয়াছিলাম,Past,1st,cntx_pst
খাইয়াছিলি,Past,2nd_i,cntx_pst
খাইয়াছিলে,Past,2nd_f,cntx_pst
খাইয়াছিলেন,Past,pol_f,cntx_pst
খাইয়াছিস,Present,2nd_i,cntx_prt
খাইয়াছে,Present,3rd_f,cntx_prt
খাইয়াছেন,Present,pol_f,cntx_prt
খাইয়ে,Participle,404_f,cntx_404
খাইয়েছ,Present,2nd_f,cntx_prt
খাইয়েছি,Present,1st,cntx_prt
খাইয়েছিল,Past,3rd_f,cntx_pst
খাইয়েছিলাম,Past,1st,cntx_pst
খাইয়েছিলি,Past,2nd_i,cntx_pst
খাইয়েছিলুম,Past,1st,cntx_pst
খাইয়েছিলে,Past,2nd_f,cntx_pst
খাইয়েছিলেন,Past,pol_f,cntx_pst
খাইয়েছিলেম,Past,1st,cntx_pst
খাইয়েছিস,Present,2nd_i,cntx_prt
খাইয়েছে,Present,3rd_f,cntx_prt
খাইয়েছেন,Present,pol_f,cntx_prt
খাইয়ো,Present,2nd_f,cntx_prt
খাইল,Past,3rd_f,cntx_pst
খাইলাম,Past,1st,cntx_pst
খাইলি,Past,2nd_i,cntx_pst
খাইলে,Past,2nd_f,cntx_pst
খাইলেন,Past,pol_f,cntx_pst
খাও,Present,2nd_f,cntx_prt
খাওয়া,Base,pos_f,cntx_alt
খাওয়াই,Present,1st,cntx_prt
খাওয়াইও,Present,2nd_f,cntx_prt
খাওয়াইত,Past,3rd_f,cntx_pst
খাওয়াইতাম,Past,1st,cntx_pst
খাওয়াইতিস,Past,2nd_i,cntx_pst
খাওয়াইতে,Past,2nd_f,cntx_pst
খাওয়াইতেছ,Present,2nd_f,cntx_prt
খাওয়াইতেছি,Present,1st,cntx_prt
খাওয়াইতেছিল,Past,3rd_f,cntx_pst
খাওয়াইতেছিলাম,Past,1st,cntx_pst
খাওয়াইতেছিলি,Past,2nd_i,cntx_pst
খাওয়াইতেছিলে,Past,2nd_f,cntx_pst
খাওয়াইতেছিলেন,Past,pol_f,cntx_pst
খাওয়াইতেছিস,Present,2nd_i,cntx_prt
খাওয়াইতেছে,Present,3rd_f,cntx_prt
খাওয়াইতেছেন,Present,pol_f,cntx_prt
খাওয়াইতেন,Past,pol_f,cntx_pst
খাওয়াইব,Future,1st,cntx_fut
খাওয়াইবার,Present,404_f,cntx_404
খাওয়াইবি,Future,2nd_i,cntx_fut
খাওয়াইবে,Future,2nd_f,cntx_fut
খাওয়াইবেন,Future,pol_f,cntx_fut
খাওয়াইয়া,Participle,404_f,cntx_404
খাওয়াইয়াছ,Present,2nd_f,cntx_prt
খাওয়াইয়াছি,Present,1st,cntx_prt
খাওয়াইয়াছিল,Past,3rd_f,cntx_pst
খাওয়াইয়াছিলাম,Past,1st,cntx_pst
খাওয়াইয়াছিলি,Past,2nd_i,cntx_pst
খাওয়াইয়াছিলে,Past,2nd_f,cntx_pst
খাওয়াইয়াছিলেন,Past,pol_f,cntx_pst
খাওয়াইয়াছিস,Present,2nd_i,cntx_prt
খাওয়াইয়াছে,Present,3rd_f,cntx_prt
খাওয়াইয়াছেন,Present,pol_f,cntx_prt
খাওয়াইয়ো,Present,2nd_f,cntx_prt
খাওয়াইল,Past,3rd_f,cntx_pst
খাওয়াইলাম,Past,1st,cntx_pst
খাওয়াইলি,Past,2nd_i,cntx_pst
খাওয়াইলে,Past,2nd_f,cntx_pst
খাওয়াইলেন,Past,pol_f,cntx_pst
খাওয়াও,Present,2nd_f,cntx_prt
খাওয়াক,Present,3rd_f,cntx_prt
খাওয়াচ্ছ,Present,2nd_f,cntx_prt
খাওয়াচ্ছি,Present,1st,cntx_prt
খাওয়াচ্ছিল,Past,3rd_f,cntx_pst
খাওয়াচ্ছিলাম,Past,1st,cntx_pst
খাওয়াচ্ছিলি,Past,2nd_i,cntx_pst
খাওয়াচ্ছিলুম,Past,1st,cntx_pst
খাওয়াচ্ছিলে,Past,2nd_f,cntx_pst
খাওয়াচ্ছিলেন,Past,pol_f,cntx_pst
খাওয়াচ্ছিলেম,Past,1st,cntx_pst
খাওয়াচ্ছিস,Present,2nd_i,cntx_prt
খাওয়াচ্ছে,Present,3rd_f,cntx_prt
খাওয়াচ্ছেন,Present,pol_f,cntx_prt
খাওয়াত,Past,3rd_f,cntx_pst
খাওয়াতাম,Past,1st,cntx_pst
খাওয়াতিস,Past,2nd_i,cntx_pst
খাওয়াতুম,Past,1st,cntx_pst
খাওয়াতে,Past,2nd_f,cntx_pst
খাওয়াতেন,Past,pol_f,cntx_pst
খাওয়াতেম,Past,1st,cntx_pst
খাওয়ান,Present,pol_f,cntx_prt
খাওয়ানো,Present,obj_f,cntx_alt
খাওয়াব,Future,1st,cntx_fut
খাওয়াবার,Present,404_f,cntx_404
খাওয়াবি,Future,2nd_i,cntx_fut
খাওয়াবে,Future,2nd_f,cntx_fut
খাওয়াবেন,Future,pol_f,cntx_fut
খাওয়াবো,Future,1st,cntx_fut
খাওয়ায়,Present,3rd_f,cntx_prt
খাওয়াল,Past,3rd_f,cntx_pst
খাওয়ালাম,Past,1st,cntx_pst
খাওয়ালি,Past,2nd_i,cntx_pst
খাওয়ালুম,Past,1st,cntx_pst
খাওয়ালে,Past,2nd_f,cntx_pst
খাওয়ালেন,Past,pol_f,cntx_pst
খাওয়ালেম,Past,1st,cntx_pst
খাওয়াস,Present,2nd_i,cntx_prt
খাক,Present,3rd_f,cntx_prt
খাচ্ছ,Present,2nd_f,cntx_prt
খাচ্ছি,Present,1st,cntx_prt
খাচ্ছিল,Past,3rd_f,cntx_pst
খাচ্ছিলাম,Past,1st,cntx_pst
খাচ্ছিলি,Past,2nd_i,cntx_pst
খাচ্ছিলুম,Past,1st,cntx_pst
খাচ্ছিলে,Past,2nd_f,cntx_pst
খাচ্ছিলেন,Past,pol_f,cntx_pst
খাচ্ছিলেম,Past,1st,cntx_pst
খাচ্ছিস,Present,2nd_i,cntx_prt
খাচ্ছে,Present,3rd_f,cntx_prt
খাচ্ছেন,Present,pol_f,cntx_prt
গাই,Present,1st,cntx_prt
গাইও,Present,2nd_f,cntx_prt
গাইছ,Present,2nd_f,cntx_prt
গাইছি,Present,1st,cntx_prt
গাইছিল,Past,3rd_f,cntx_pst
গাইছিলাম,Past,1st,cntx_pst
গাইছিলি,Past,2nd_i,cntx_pst
গাইছিলুম,Past,1st,cntx_pst
গাইছিলে,Past,2nd_f,cntx_pst
গাইছিলেন,Past,pol_f,cntx_pst
গাইছিলেম,Past,1st,cntx_pst
গাইছিস,Present,2nd_i,cntx_prt
গাইছে,Present,3rd_f,cntx_prt
গাইছেন,Present,pol_f,cntx_prt
গাইত,Past,3rd_f,cntx_pst
গাইতাম,Past,1st,cntx_pst
গাইতিস,Past,2nd_i,cntx_pst
গাইতুম,Past,1st,cntx_pst
গাইতে,Past,2nd_f,cntx_pst
গাইতেছিল,Past,3rd_f,cntx_pst
গাইতেছিলাম,Past,1st,cntx_pst
গাইতেছিলি,Past,2nd_i,cntx_pst
গাইতেছিলুম,Past,1st,cntx_pst
গাইতেছিলে,Past,2nd_f,cntx_pst
গাইতেছিলেন,Past,pol_f,cntx_pst
গাইতেছিলেম,Past,1st,cntx_pst
গাইতেন,Past,pol_f,cntx_pst
গাইতেম,Past,1st,cntx_pst
গাইব,Future,1st,cntx_fut
গাইবার,Present,404_f,cntx_404
গাইবি,Future,2nd_i,cntx_fut
গাইবে,Future,2nd_f,cntx_fut
গাইবেন,Future,pol_f,cntx_fut
গাইবো,Future,1st,cntx_fut
গাইয়ে,Participle,404_f,cntx_404
গাইয়েছ,Present,2nd_f,cntx_prt
গাইয়েছি,Present,1st,cntx_prt
গাইয়েছিল,Past,3rd_f,cntx_pst
গাইয়েছিলাম,Past,1st,cntx_pst
গাইয়েছিলি,Past,2nd_i,cntx_pst
গাইয়েছিলুম,Past,1st,cntx_pst
গাইয়েছিলে,Past,2nd_f,cntx_pst
গাইয়েছিলেন,Past,pol_f,cntx_pst
গাইয়েছিলেম,Past,1st,cntx_pst
গাইয়েছিস,Present,2nd_i,cntx_prt
গাইয়েছে,Present,3rd_f,cntx_prt
গাইয়েছেন,Present,pol_f,cntx_prt
গাইয়ো,Present,2nd_f,cntx_prt
গাইল,Past,3rd_f,cntx_pst
গাইলাম,Past,1st,cntx_pst
গাইলি,Past,2nd_i,cntx_pst
গাইলুম,Past,1st,cntx_pst
গাইলে,Past,2nd_f,cntx_pst
গাইলেন,Past,pol_f,cntx_pst
গাইলেম,Past,1st,cntx_pst
গাও,Present,2nd_f,cntx_prt
গাওয়া,Base,pos_f,cntx_alt
গাওয়াই,Present,1st,cntx_prt
গাওয়াও,Present,2nd_f,cntx_prt
গাওয়াক,Present,3rd_f,cntx_prt
গাওয়াচ্ছ,Present,2nd_f,cntx_prt
গাওয়াচ্ছি,Present,1st,cntx_prt
গাওয়াচ্ছিল,Past,3rd_f,cntx_pst
গাওয়াচ্ছিলাম,Past,1st,cntx_pst
গাওয়াচ্ছিলি,Past,2nd_i,cntx_pst
গাওয়াচ্ছিলুম,Past,1st,cntx_pst
গাওয়াচ্ছিলে,Past,2nd_f,cntx_pst
গাওয়াচ্ছিলেন,Past,pol_f,cntx_pst
গাওয়াচ্ছিলেম,Past,1st,cntx_pst
গাওয়াচ্ছিস,Present,2nd_i,cntx_prt
গাওয়াচ্ছে,Present,3rd_f,cntx_prt
গাওয়াচ্ছেন,Present,pol_f,cntx_prt
গাওয়াত,Past,3rd_f,cntx_pst
গাওয়াতাম,Past,1st,cntx_pst
গাওয়াতিস,Past,2nd_i,cntx_pst
গাওয়াতুম,Past,1st,cntx_pst
গাওয়াতে,Past,2nd_f,cntx_pst
গাওয়াতেন,Past,pol_f,cntx_pst
গাওয়াতেম,Past,1st,cntx_pst
গাওয়ান,Present,pol_f,cntx_prt
গাওয়ানো,Present,obj_f,cntx_alt
গাওয়াব,Future,1st,cntx_fut
গাওয়াবার,Present,404_f,cntx_404
গাওয়াবি,Future,2nd_i,cntx_fut
গাওয়াবে,Future,2nd_f,cntx_fut
গাওয়াবেন,Future,pol_f,cntx_fut
গাওয়াবো,Future,1st,cntx_fut
গাওয়ায়,Present,3rd_f,cntx_prt
গাওয়ার,Present,404_f,cntx_404
গাওয়াল,Past,3rd_f,cntx_pst
গাওয়ালাম,Past,1st,cntx_pst
গাওয়ালি,Past,2nd_i,cntx_pst
গাওয়ালুম,Past,1st,cntx_pst
গাওয়ালে,Past,2nd_f,cntx_pst
গাওয়ালেন,Past,pol_f,cntx_pst
গাওয়ালেম,Past,1st,cntx_pst
গাওয়াস,Present,2nd_i,cntx_prt
গাক,Present,3rd_f,cntx_prt
গাচ্ছিল,Past,3rd_f,cntx_pst
গাচ্ছিলাম,Past,1st,cntx_pst
গাচ্ছিলি,Past,2nd_i,cntx_pst
গাচ্ছিলুম,Past,1st,cntx_pst
গাচ্ছিলে,Past,2nd_f,cntx_pst
গাচ্ছিলেন,Past,pol_f,cntx_pst
গাচ্ছিলেম,Past,1st,cntx_pst
